1,Pather Panchali (1955),Drama,,1,Citizen Kane (1941),Drama,,1,Raising Arizona (1987),Comedy,,1,Casablanca (1942),Drama|Romance|War
2,"Close Shave, A (1995)",Animation|Comedy|Thriller,,2,Wallace & Gromit: The Best of Aardman Animation (1996),Animation,,2,Forrest Gump (1994),Comedy|Romance|War,,2,North by Northwest (1959),Comedy|Thriller
3,"Boot, Das (1981)",Action|Drama|War,,3,Independence Day (ID4) (1996),Action|Sci-Fi|War,,3,E.T. the Extra-Terrestrial (1982),Children's|Drama|Fantasy|Sci-Fi,,3,Rear Window (1954),Mystery|Thriller
4,Wings of Desire (1987),Comedy|Drama|Romance,,4,Toy Story (1995),Animation|Children's|Comedy,,4,Back to the Future (1985),Comedy|Sci-Fi,,4,Schindler's List (1993),Drama|War
5,To Live (Huozhe) (1994),Drama,,5,12 Angry Men (1957),Drama,,5,Pulp Fiction (1994),Crime|Drama,,5,Titanic (1997),Action|Drama|Romance
6,"Winter Guest, The (1997)",Drama,,6,"Turning, The (1992)",Drama,,6,Stand by Me (1986),Adventure|Comedy|Drama,,6,"Close Shave, A (1995)",Animation|Comedy|Thriller
7,My Man Godfrey (1936),Comedy,,7,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,,7,Amadeus (1984),Drama|Mystery,,7,Secrets & Lies (1996),Drama
8,Night on Earth (1991),Comedy|Drama,,8,"Cérémonie, La (1995)",Drama,,8,Clueless (1995),Comedy,,8,Vertigo (1958),Mystery|Thriller
9,"City of Lost Children, The (1995)",Adventure|Sci-Fi,,9,"Basketball Diaries, The (1995)",Drama,,9,Heathers (1989),Comedy,,9,One Flew Over the Cuckoo's Nest (1975),Drama
10,Shallow Grave (1994),Thriller,,10,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller,,10,"Silence of the Lambs, The (1991)",Drama|Thriller,,10,"Third Man, The (1949)",Mystery|Thriller
